px,py,pz,E,mx,my,mz,K
-25.41600661,35.01075247,86.33411263,96.56761975,25.41600661,-35.01075247,39.85097804,58.82029098
15.61245909,-33.48608742,15.29107032,39.98604458,-15.61245909,33.48608742,102.2114841,108.6841958
-12.68370501,15.98132383,111.997587,113.8408475,12.68370501,-15.98132383,-11.01687151,23.18729269
13.17493383,42.04364576,-19.19951858,48.06109178,-13.17493383,-42.04364576,-42.3748081,61.12995494
-37.01927315,-4.414690564,77.43741913,85.94457492,37.01927315,4.414690564,156.3106013,160.6951155
-15.50017835,-36.31254933,166.139598,170.766574,15.50017835,36.31254933,469.1411854,470.799648
22.96820522,-28.63508983,-80.31595942,88.307192,-22.96820522,28.63508983,-380.3282968,382.0956951
-26.54542556,-31.04735203,-2.799173451,40.94426771,26.54542556,31.04735203,-34.90338998,53.72936179
37.2876476,-25.66647714,386.549645,389.1911674,-37.2876476,25.66647714,549.3720772,551.2339031
24.18872874,11.1879709,168.1753769,170.2739636,-24.18872874,-11.1879709,1644.918895,1645.134778
-38.13422091,-10.75974182,-293.4445361,296.1075592,38.13422091,10.75974182,-890.2981415,891.1794272
4.738609587,28.75228904,-49.30573547,57.27306606,-4.738609587,-28.75228904,-61.79594814,68.32194195
18.66770785,-23.77447087,805.9461351,806.5127907,-18.66770785,23.77447087,108.7762587,112.89811
6.848759848,41.27605594,516.330867,518.0233417,-6.848759848,-41.27605594,1136.3624,1137.132412
-0.138672501,8.824641945,62.72644734,63.34430307,0.138672501,-8.824641945,-28.6899964,30.0168191
-14.25233226,-3.570120347,21.38781393,25.94828161,14.25233226,3.570120347,891.8499179,891.9709361
37.74818812,-13.5333863,-1378.017847,1378.601198,-37.74818812,13.5333863,-388.2379988,390.3034998
18.97248051,32.33570184,57.78839121,68.88432905,-18.97248051,-32.33570184,-1.592270611,37.52449808
4.463634552,15.98196169,35.82251285,39.47910282,-4.463634552,-15.98196169,969.3960588,969.5380684
-18.66489519,-41.37226154,994.8272769,995.8621155,18.66489519,41.37226154,1262.834881,1263.650259
16.46868169,28.07169403,-856.0825134,856.7009438,-16.46868169,-28.07169403,-157.8397586,161.1602521
18.58812927,-30.5137769,1857.518293,1857.861895,-18.58812927,30.5137769,536.4092055,537.5978468
